trait_abbrev	study_name	trait_full	phenotype_group
AgeD_Dad	ukb-b-11303	Father's age at death	Aging & Longevity
AgeD_Mom	ukb-b-12687	Mother's age at death	Aging & Longevity
FaceAge	ukb-b-2148	Facial ageing	Aging & Longevity
Falls1Y	ukb-b-2535	Falls in the last year	Aging & Longevity
HairP1	ukb-d-2395_1	Hair/balding pattern: Pattern 1	Aging & Longevity
HairP2	ukb-a-301	Hair/balding pattern: Pattern 2	Aging & Longevity
HairP3	ukb-a-302	Hair/balding pattern: Pattern 3	Aging & Longevity
HairP4	ukb-a-303	Hair/balding pattern: Pattern 4	Aging & Longevity
TeloLen	ieu-b-4879	telomere length	Aging & Longevity
Top1pSur	ieu-a-1091	Top 1 % survival	Aging & Longevity
BasoCt	ieu-b-29	basophil cell count	Blood & Immune System
Eczema	ieu-a-996	Eczema	Blood & Immune System
EosCt	ieu-b-33	eosinophil cell count	Blood & Immune System
HbConc	ukb-d-30020_irnt	Haemoglobin concentration	Blood & Immune System
HctPct	ukb-d-30030_irnt	Haematocrit percentage	Blood & Immune System
IBD	ieu-a-31	Inflammatory bowel disease	Blood & Immune System
ImmRetFr	ukb-d-30280_irnt	Immature reticulocyte fraction	Blood & Immune System
LymphCt	ieu-b-32	lymphocyte cell count	Blood & Immune System
LymphCt_IR	ukb-d-30120_irnt	Lymphocyte count	Blood & Immune System
LymphP_IR	ukb-d-30180_irnt	Lymphocyte percentage	Blood & Immune System
MCHbC_IR	ukb-d-30060_irnt	Mean corpuscular haemoglobin concentration	Blood & Immune System
MonocyCt	ieu-b-31	monocyte cell count	Blood & Immune System
NeutCt_IR	ukb-d-30140_irnt	Neutrophill count	Blood & Immune System
NeutPct_IR	ukb-d-30200_irnt	Neutrophill percentage	Blood & Immune System
NeutroCt	ieu-b-34	neutrophil cell count	Blood & Immune System
RBC_Ct_IR	ukb-d-30010_irnt	Red blood cell (erythrocyte) count	Blood & Immune System
RBC_Dist_IR	ukb-d-30070_irnt	Red blood cell (erythrocyte) distribution width	Blood & Immune System
Scer_IgA	ieu-b-4908	Anti-Saccharomyces cerevisiae IgA levels	Blood & Immune System
WBC_Ct	ieu-b-30	white blood cell count	Blood & Immune System
WBC_Ct_IR	ukb-d-30000_irnt	White blood cell (leukocyte) count	Blood & Immune System
BackP_M	ukb-b-9838	Pain type(s) experienced in last month: Back pain	Bone, Joint & Musculoskeletal
CarpTunS	ukb-b-3965	Diagnoses - main ICD10: G56.0 Carpal tunnel syndrome	Bone, Joint & Musculoskeletal
Frac5Y	ukb-b-13346	Fractured/broken bones in last 5 years	Bone, Joint & Musculoskeletal
FracFall	ukb-b-15251	Fracture resulting from simple fall	Bone, Joint & Musculoskeletal
GripStrR	ukb-a-379	Hand grip strength (right)	Bone, Joint & Musculoskeletal
HeelDens	ukb-a-500	Heel bone mineral density (BMD) T-score  automated	Bone, Joint & Musculoskeletal
NeuUppL	ukb-a-528	Diagnoses - main ICD10: G56 Mononeuropathies of upper limb	Bone, Joint & Musculoskeletal
OsteoMyl	ieu-b-4975	Osteomyelitis	Bone, Joint & Musculoskeletal
PainAll_M	ukb-a-477	Pain type(s) experienced in last month: Pain all over the body	Bone, Joint & Musculoskeletal
PBack3M	ukb-b-8463	Back pain for 3+ months	Bone, Joint & Musculoskeletal
PFace_M	ukb-b-17107	Pain type(s) experienced in last month: Facial pain	Bone, Joint & Musculoskeletal
PHead_M	ukb-b-12181	Pain type(s) experienced in last month: Headache	Bone, Joint & Musculoskeletal
PHip_M	ukb-b-7289	Pain type(s) experienced in last month: Hip pain	Bone, Joint & Musculoskeletal
PHip3M	ukb-b-133	Hip pain for 3+ months	Bone, Joint & Musculoskeletal
PKnee_M	ukb-b-16254	Pain type(s) experienced in last month: Knee pain	Bone, Joint & Musculoskeletal
PKnee3M	ukb-b-8906	Knee pain for 3+ months	Bone, Joint & Musculoskeletal
PLeg_St	ukb-b-4361	Leg pain when standing still or sitting	Bone, Joint & Musculoskeletal
PLegWalk	ukb-a-381	Leg pain on walking	Bone, Joint & Musculoskeletal
PNeck_M	ukb-b-18596	Pain type(s) experienced in last month: Neck or shoulder pain	Bone, Joint & Musculoskeletal
RheuArth	bbj-a-73	Rheumatoid Arthritis	Bone, Joint & Musculoskeletal
S_OstArth	ukb-b-14486	Non-cancer illness code, self-reported: osteoarthritis	Bone, Joint & Musculoskeletal
SitHgt	ukb-a-195	Sitting height	Bone, Joint & Musculoskeletal
StandHgt	ukb-a-389	Standing height	Bone, Joint & Musculoskeletal
AdenLung	ieu-a-965	Lung adenocarcinoma	Cancers & Neoplasms
CanBlad	ieu-b-4874	Bladder cancer	Cancers & Neoplasms
Canc_Dx	ukb-b-16855	Cancer diagnosed by doctor	Cancers & Neoplasms
CanCerv	ukb-b-918	Type of cancer: ICD10: D06.9 Cervix, unspecified	Cancers & Neoplasms
CanFSkin	ukb-b-10248	Type of cancer: ICD10: C44.3 Skin of other and unspecified parts of face	Cancers & Neoplasms
CanHemat	ieu-b-4878	haemotological cancer	Cancers & Neoplasms
CanHNeck	ieu-b-4912	Head and neck cancer	Cancers & Neoplasms
CanLung	ieu-b-4955	Lung cancer	Cancers & Neoplasms
CanOral	ieu-b-90	Oral cavity and pharyngeal cancer	Cancers & Neoplasms
CanOroPh	ieu-b-4962	Oral and oropharyngeal cancer	Cancers & Neoplasms
CanOvar	ieu-b-4963	Ovarian cancer	Cancers & Neoplasms
CanPan	ieu-b-4964	Pan cancer	Cancers & Neoplasms
